coach_id,coach_name,seasons,coach_career_span,g,wins,losses,ties,win_loss_perc,wins_over_500,years_playoffs,g_playoffs,wins_playoffs,losses_playoffs,win_loss_playoffs_perc,rank_avg,rank_best,championships,championships_super_bowl,championships_conference
24,Leeman Bennett,8,1977-1986,119,50,69,0,.420,-19,3,4,1,3,.250,2.6,1,0,0,0
25,Dutch Bergman,1,1943,10,6,3,1,.667,3,1,2,1,1,.500,1.0,1,0,0,0
26,Raymond Berry,6,1984-1989,87,48,39,0,.552,9,2,5,3,2,.600,2.5,1,0,0,1
27,Punk Berryman,2,1924-1926,25,14,10,1,.583,4,0,0,0,0,,8.5,3,0,0,0
28,Tom Bettis,1,1977,7,1,6,0,.143,-5,0,0,0,0,,5.0,5,0,0,0
29,Hugo Bezdek,2,1937-1938,14,1,13,0,.071,-12,0,0,0,0,,4.5,4,0,0,0
30,Scotty Bierce,1,1925,8,4,2,2,.667,2,0,0,0,0,,4.0,4,0,0,0
31,Ed Biles,3,1981-1983,31,8,23,0,.258,-15,0,0,0,0,,3.7,3,,,
32,Brian Billick,9,1999-2007,144,80,64,0,.556,16,4,8,5,3,.625,2.3,1,1,1,1
33,Lisle Blackbourn,4,1954-1957,48,17,31,0,.354,-14,0,0,0,0,,4.8,3,0,0,0
34,Johnny Blood,3,1937-1939,25,6,19,0,.240,-13,0,0,0,0,,4.0,3,0,0,0
35,Pat Boland,1,1946,6,2,3,1,.400,-1,0,0,0,0,,4.0,4,0,0,0
36,Todd Bowles,1,2011,3,2,1,0,.667,1,0,0,0,0,,3.0,3,,,
37,Gus Bradley,2,2013-2014,32,7,25,0,.219,-18,0,0,0,0,,3.0,3,,,
38,Joe Brandy,1,1924,6,0,6,0,.000,-6,0,0,0,0,,16.0,16,0,0,0
39,Wayne Brenkert,2,1923-1924,10,3,7,0,.300,-4,0,0,0,0,,14.5,13,0,0,0
40,Untz Brewer,1,1922,10,3,5,2,.375,-2,0,0,0,0,,10.0,10,0,0,0
41,Charlie Brickley,1,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
42,Frank Bridges,1,1944,5,0,5,0,.000,-5,0,0,0,0,,5.0,5,0,0,0
43,Marty Brill,1,1931,7,3,3,1,.500,0,0,0,0,0,,7.0,7,0,0,0
44,Rich Brooks,2,1995-1996,32,13,19,0,.406,-6,0,0,0,0,,3.0,3,0,0,0
45,Paul Brown,25,1946-1975,326,213,104,9,.672,109,15,17,9,8,.529,2.0,1,7,0,0
46,Fred Bruney,1,1985,1,1,0,0,1.000,1,0,0,0,0,,4.0,4,0,0,0
47,Johnny Bryan,2,1925-1926,15,2,13,0,.133,-11,0,0,0,0,,15.5,15,0,0,0
48,Joe Bugel,5,1990-1997,80,24,56,0,.300,-32,0,0,0,0,,4.6,4,0,0,0
49,Hank Bullough,3,1978-1986,22,4,18,0,.182,-14,0,0,0,0,,3.3,1,0,0,0
50,Jerry Burns,6,1986-1991,95,52,43,0,.547,9,3,6,3,3,.500,2.5,1,,,
51,Tom Cable,3,2008-2010,44,17,27,0,.386,-10,0,0,0,0,,3.0,3,,,
52,Jim Caldwell,4,2009-2014,64,37,27,0,.578,10,3,5,2,3,.400,2.0,1,0,0,1
53,Bill Callahan,2,2002-2003,32,15,17,0,.469,-2,1,3,2,1,.667,2.0,1,,,1
54,Cam Cameron,1,2007,16,1,15,0,.063,-14,0,0,0,0,,4.0,4,0,0,0
55,Hugh Campbell,2,1984-1985,30,8,22,0,.267,-14,0,0,0,0,,4.0,4,,,
56,Marion Campbell,9,1974-1989,115,34,80,1,.300,-46,0,0,0,0,,3.9,3,0,0,0
57,Dave Campo,3,2000-2002,48,15,33,0,.313,-18,0,0,0,0,,4.3,4,0,0,0
58,Dom Capers,8,1995-2005,128,48,80,0,.375,-32,1,2,1,1,.500,3.3,1,0,0,0
59,Pete Carroll,9,1994-2014,144,83,61,0,.576,22,6,13,8,5,.615,2.6,1,1,1,2
60,Bud Carson,2,1989-1990,25,11,13,1,.460,-2,1,2,1,1,.500,2.5,1,,,
61,Eddie Casey,1,1935,11,2,8,1,.200,-6,0,0,0,0,,4.0,4,0,0,0
62,Pete Cawthon,2,1943-1944,15,2,13,0,.133,-11,0,0,0,0,,4.5,4,0,0,0
63,Guy Chamberlin,6,1922-1927,81,58,16,7,.784,42,0,0,0,0,,3.2,1,4,0,0
64,Coonie Checkaye,1,1921,2,0,2,0,.000,-2,0,0,0,0,,18.0,18,0,0,0
65,Jack Chevigny,1,1932,10,2,6,2,.250,-4,0,0,0,0,,6.0,6,0,0,0
66,Brad Childress,5,2006-2010,74,39,35,0,.527,4,2,3,1,2,.333,2.2,1,,,
67,Jack Christiansen,5,1963-1967,67,26,38,3,.406,-12,0,0,0,0,,5.0,3,0,0,0
68,Rob Chudzinski,1,2013,16,4,12,0,.250,-8,0,0,0,0,,4.0,4,,,
69,Algy Clark,1,1934,8,0,8,0,.000,-8,0,0,0,0,,6.0,6,0,0,0
70,Dutch Clark,6,1937-1942,66,30,34,2,.469,-4,0,0,0,0,,3.3,2,0,0,0
71,Monte Clark,8,1976-1984,119,51,67,1,.433,-16,2,2,0,2,.000,2.9,1,0,0,0
72,Potsy Clark,10,1931-1940,118,64,42,12,.604,22,1,1,1,0,1.000,2.6,1,1,0,0
73,Stan Cofall,1,1920,3,0,2,1,.000,-2,0,0,0,0,,10.0,10,0,0,0
74,Blanton Collier,8,1963-1970,112,76,34,2,.691,42,5,7,3,4,.429,1.4,1,1,0,0
75,Joe Collier,3,1966-1968,30,13,16,1,.448,-3,1,1,0,1,.000,3.0,1,0,0,0
76,Bill Conkright,1,1962,9,1,8,0,.111,-7,0,0,0,0,,4.0,4,0,0,0
77,Jimmy Conzelman,15,1921-1948,167,87,63,17,.580,24,2,2,1,1,.500,4.8,1,2,0,0
78,Al Cornsweet,1,1931,10,2,8,0,.200,-6,0,0,0,0,,8.0,8,0,0,0
79,Don Coryell,14,1973-1986,195,111,83,1,.572,28,6,9,3,6,.333,2.8,1,0,0,0
80,Bruce Coslet,9,1990-2000,124,47,77,0,.379,-30,1,1,0,1,.000,3.9,2,0,0,0
81,Frank Coughlin,1,1921,2,0,1,1,.000,-1,0,0,0,0,,5.0,5,0,0,0
82,Tom Coughlin,19,1995-2014,304,164,140,0,.539,24,9,19,12,7,.632,2.4,1,2,2,2
83,Bill Cowher,15,1992-2006,240,149,90,1,.623,59,10,21,12,9,.571,1.9,1,1,1,2
84,Milan Creighton,4,1935-1938,46,16,26,4,.381,-10,0,0,0,0,,4.0,3,0,0,0
85,Romeo Crennel,6,2005-2012,83,28,55,0,.337,-27,0,0,0,0,,3.7,2,,,
86,Clem Crowe,2,1949-1950,18,5,12,1,.294,-7,1,1,0,1,.000,5.0,3,0,0,0
87,Jim Crowley,1,1947,10,0,10,0,.000,-10,0,0,0,0,,4.0,4,0,0,0
88,Gunther Cunningham,2,1999-2000,32,16,16,0,.500,0,0,0,0,0,,2.5,2,,,
89,Russ Daugherty,1,1927,10,4,4,2,.500,0,0,0,0,0,,7.0,7,0,0,0
90,Al Davis,3,1963-1965,42,23,16,3,.590,7,0,0,0,0,,2.3,2,0,0,0
91,Butch Davis,4,2001-2004,59,24,35,0,.407,-11,1,1,0,1,.000,3.3,2,,,
92,Red Dawson,4,1946-1949,48,19,25,4,.432,-6,1,2,1,1,.500,2.0,1,0,0,0
93,Dudley DeGroot,4,1944-1947,45,26,16,3,.619,10,1,1,0,1,.000,2.5,1,0,0,0
94,Jack Del Rio,9,2003-2011,139,68,71,0,.489,-3,2,3,1,2,.333,2.8,2,0,0,0
95,Herb Dell,1,1922,8,0,8,0,.000,-8,0,0,0,0,,15.0,15,0,0,0
96,Jack Depler,3,1929-1931,38,12,21,5,.364,-9,0,0,0,0,,6.3,4,0,0,0
97,Dan Devine,4,1971-1974,56,25,27,4,.481,-2,1,1,0,1,.000,2.8,1,0,0,0
98,Hugh Devore,3,1953-1957,26,7,18,1,.280,-11,0,0,0,0,,5.7,5,0,0,0
99,Lone Star Dietz,2,1933-1934,24,11,11,2,.500,0,0,0,0,0,,2.5,2,0,0,0
100,Luby DiMeolo,1,1934,12,2,10,0,.167,-8,0,0,0,0,,5.0,5,0,0,0
101,Mike Ditka,14,1982-1999,216,121,95,0,.560,26,7,12,6,6,.500,2.6,1,1,1,1
102,Mel Doherty,1,1921,4,1,3,0,.250,-2,0,0,0,0,,13.0,13,0,0,0
103,Aldo Donelli,2,1941-1944,15,4,11,0,.267,-7,0,0,0,0,,4.5,4,0,0,0
104,Jim Dooley,4,1968-1971,56,20,36,0,.357,-16,0,0,0,0,,3.3,2,0,0,0
105,Gus Dorais,5,1943-1947,53,20,31,2,.392,-11,0,0,0,0,,3.4,2,0,0,0
106,Jap Douds,1,1933,11,3,6,2,.333,-3,0,0,0,0,,5.0,5,0,0,0
107,Bob Dove,1,1946,5,2,2,1,.500,0,0,0,0,0,,4.0,4,0,0,0
108,Rod Dowhower,2,1985-1986,29,5,24,0,.172,-19,0,0,0,0,,4.5,4,0,0,0
109,Paddy Driscoll,5,1920-1957,53,31,17,5,.646,14,1,1,0,1,.000,4.2,1,0,0,0
110,Walt Driskill,1,1949,8,1,7,0,.125,-6,0,0,0,0,,6.0,6,0,0,0
111,Chuck Drulis,1,1961,2,2,0,0,1.000,2,0,0,0,0,,4.0,4,0,0,0
112,Tony Dungy,13,1996-2008,208,139,69,0,.668,70,11,19,9,10,.474,1.8,1,1,1,1
113,Bill Edwards,2,1941-1942,14,4,9,1,.308,-5,0,0,0,0,,4.0,3,0,0,0
114,Cap Edwards,3,1921-1925,31,13,11,7,.542,2,0,0,0,0,,7.0,4,0,0,0
115,Herman Edwards,8,2001-2008,128,54,74,0,.422,-20,4,6,2,4,.333,2.9,1,0,0,0
116,Turk Edwards,3,1946-1948,35,16,18,1,.471,-2,0,0,0,0,,3.0,2,0,0,0
117,Eddie Erdelatz,2,1960-1961,16,6,10,0,.375,-4,0,0,0,0,,3.5,3,0,0,0
